확정출주표,,,,,,,,,,,,,,,,,,,
2024년 09월 04일 36회 1일차,,,,,,,,,,,,,,,,,,,
제 01경주  (신인일반  11:40    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,정승호,18,50.0/2,75.0/4,25.0/4,33.3/3,33.3/3,00.0/2,066,7.16,58.1,77.4,정경호/45,한 진/3111,045,4.54,17.9,,
2,정용진,42,100.0/7,33.3/6,62.5/8,83.3/6,00.0/7,37.5/8,056,6.24,48.3,62.1,김민천/63,심상철/1121,065,4.08,20.8,,
3,김민길,30,80.0/5,80.0/5,80.0/5,75.0/4,33.3/6,00.0/5,067,6.87,53.3,73.3,박진서/35,박민성/4552,020,6.47,52.9,,
4,김응선,40,100.0/7,57.1/7,42.9/7,66.7/6,50.0/6,28.6/7,001,5.59,38.2,52.9,신동길/664,김경일/414,109,4.94,34.3,,
5,윤영근,39,50.0/8,40.0/5,14.3/7,00.0/6,16.7/6,00.0/7,068,4.64,33.3,41.7,이상문/536,강지환/563,030,6.52,52.4,,
6,이주영,47,77.8/9,50.0/6,55.6/9,57.1/7,25.0/8,25.0/8,101,5.53,38.9,58.3,기광서/442,박준호/5526,051,4.52,24.0,,
제 11경주  (일반  15:33    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,B2,14,김은지,여,36,52,4.22,3.81,5.6,16.7,27.8,0.24,6554 2324,1.67,0.0,F0L0,0,3,
2,A2,1,이택근,남,51,60,6.22,5.94,27.8,44.4,66.7,0.18,2161 4236,5.38,37.5,F0L0,0.33,,
3,A2,8,한종석,남,41,57,6.05,5.82,10.5,42.1,63.2,0.21,2132 2424,5.80,40.9,F0L0,0.24,,
4,A1,2,김민천,남,48,56,8.39,8.25,55.6,77.8,88.9,0.28,2111 6321,7.51,65.7,F0L0,0.14,,
5,B1,14,조규태,남,38,57,3.50,2.25,5.6,5.6,27.8,0.21,5614 4365,4.26,18.0,F1L0,1.77,2,
6,B2,16,최인원,남,34,55,4.50,2.11,7.1,14.3,50.0,0.17,3150 3434,4.65,24.3,F1L0,1.75,,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,김은지,3,00.0/0,00.0/1,00.0/1,00.0/0,00.0/1,00.0/0,054,6.19,37.0,63.0,임태경/423,구현구/1331,005,5.93,42.9,,
