연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,10,2,1,플라잉,6,B1,13,김민준,남,27,59,3.94,3.78,0,12.5,31.3,0.26,4255 3446,4.58,16.7,F0L0,0.17,,일03-2,24,20.0/5,0.0/3,40.0/5,25.0/4,0.0/4,33.3/3,102,5.53,35.6,55.6,김세원/452,김인혜/64,055,5.66,31.9,
2015,10,2,2,플라잉,1,B1,1,김종목,남,41,55,4.94,4.65,11.8,35.3,47.1,0.31,4442 2525,5.82,45.5,F0L0,0,12,일15-4,19,0.0/3,100.0/3,0.0/3,33.3/3,66.7/3,0.0/4,011,5.03,32.3,46.9,최영재/34,이종우/226,001,4.92,28.4,
2015,10,2,2,플라잉,2,B1,7,유해광,남,31,61,5.94,5.85,35.3,41.2,58.8,0.23,6121 4346,4.82,27.3,F0L0,0.09,09,일02-4,25,50.0/4,25.0/4,40.0/5,25.0/4,25.0/4,0.0/4,085,5.43,36.2,55.3,박영수/544,권명호/41,028,5.66,40.7,
2015,10,2,2,플라잉,3,B2,8,송효석,남,35,56,4.47,3.56,11.8,11.8,47.1,0.24,3443 6501,3.83,0,F0L0,0.42,,"일07-6, 일14-1",6,0.0/1,0.0/1,00.0/0,0.0/2,0.0/1,0.0/1,077,5.87,45.6,62.2,김민천/131,장영태/134,022,5.02,28.4,
2015,10,2,2,플라잉,4,A1,8,한종석,남,32,60,7.67,7.33,38.9,66.7,83.3,0.2,1111 2311,8.25,75,F0L0,0.09,,"일01-2, 일08-5",30,100.0/5,25.0/4,50.0/6,50.0/6,40.0/5,25.0/4,040,3.94,16.5,31.6,지용민/665,윤영일/434,083,5.36,31.3,
2015,10,2,2,플라잉,5,A2,6,권일혁,남,34,60,3.63,3.53,6.3,12.5,25,0.34,5641 3545,3.29,7.1,F0L0,0.04,11,일06-4,22,50.0/4,0.0/3,50.0/4,0.0/3,33.3/3,0.0/5,006,4.9,30.3,49.4,구본수/656,오재빈/55,077,5.86,41.1,
2015,10,2,2,플라잉,6,B1,1,황만주,남,44,61,2.53,2.37,6.7,6.7,6.7,0.32,6451 5556,2.82,9.1,F0L0,0.23,08,일09-2,20,66.7/3,25.0/4,0.0/3,0.0/3,0.0/4,0.0/3,106,4.07,18.4,28.7,임태경/555,박영수/55,095,5.62,33.3,
2015,10,2,3,플라잉,1,A1,2,손근성,남,43,55,4.75,4.5,0,18.8,50,0.27,3554 5232,5,16.7,F0L0,0.21,10,일03-4,27,50.0/4,60.0/5,50.0/4,0.0/4,0.0/6,50.0/4,017,4.17,19.3,34.1,정장훈/66,김재윤/46,006,5.92,37,
2015,10,2,3,플라잉,2,B2,9,신현경,여,35,54,2.53,1.63,0,0,13.3,0.24,4445 6505,2.83,0,F0L0,0.25,,일02-2,7,0.0/1,0.0/1,0.0/2,0.0/2,0.0/1,00.0/0,110,6.43,45.7,69.6,김영민/64,이종인/322,092,5.53,38.3,
2015,10,2,3,플라잉,3,B1,4,신동길,남,37,59,6.27,6,20,53.3,60,0.29,1242 3211,6.85,61.5,F0L0,0.31,,"일01-1, 일07-1",24,100.0/4,25.0/4,66.7/3,50.0/4,60.0/5,25.0/4,015,6.06,41.6,60.7,강창효/62,오세준/24,068,5.63,36.7,
2015,10,2,3,플라잉,4,B2,13,이진우,남,27,52,4.29,3.93,0,28.6,35.7,0.21,6253 2442,4.71,28.6,F0L0,0,,"일07-2, 일15-5",17,50.0/2,0.0/3,50.0/4,0.0/2,25.0/4,0.0/2,052,4.76,29,46.2,박준호/466,김선필/551,082,4.01,17.4,
2015,10,2,3,플라잉,5,B1,2,한  운,남,42,55,3.93,3.77,6.7,13.3,33.3,0.27,4334 4666,4.09,9.1,F0L0,0.09,09,일05-6,19,100.0/1,0.0/5,0.0/4,0.0/4,0.0/2,33.3/3,089,5.48,35.6,52.2,어선규/25,박성민/36,056,5.15,36.6,
2015,10,2,3,플라잉,6,A2,12,조성인,남,27,61,4.76,4.41,29.4,35.3,41.2,0.21,5116 6543,5,33.3,F0L0,0.17,12,일12-3,17,66.7/3,33.3/3,66.7/3,33.3/3,0.0/2,0.0/3,098,5.76,44,57.1,김경민/455,신동열/265,017,5.26,36.8,
2015,10,2,4,플라잉,1,B1,2,김기한,남,42,51,4.92,3.88,15.4,23.1,38.5,0.28,0442 5514,0,0,F0L0,0,,"일04-2, 일13-4",9,0.0/1,66.7/3,00.0/0,0.0/2,0.0/1,0.0/2,078,6.1,38.6,56.8,윤영일/05,이택근/55,063,4.7,29.3,"""F"" 후 출전"
2015,10,2,4,플라잉,2,B1,11,김선웅,남,31,63,4.5,4.41,12.5,12.5,50,0.25,6561 3535,4.83,16.7,F0L0,0.08,,일01-4,21,0.0/4,0.0/3,25.0/4,25.0/4,0.0/4,0.0/2,049,5.73,38.6,55.7,박종덕/0,윤동오/145,078,4.22,20,
2015,10,2,4,플라잉,3,B1,4,김세원,남,35,60,5.47,5.37,13.3,26.7,53.3,0.27,4521 3412,5.82,36.4,F0L0,0.14,13,일11-5,23,50.0/4,0.0/4,66.7/3,20.0/5,33.3/3,25.0/4,058,4.05,18.2,33,이장호/442,유해광/143,094,4.72,26.9,
2015,10,2,4,플라잉,4,A2,10,김태규,남,31,60,6.2,5.23,20,46.7,66.7,0.2,3240 4321,6,33.3,F0L0,0.83,,"일05-4, 일11-3",9,100.0/1,50.0/2,0.0/1,0.0/1,0.0/2,50.0/2,045,6.56,50,65.5,김민천/0,김정구/312,075,5.54,37.4,
2015,10,2,4,플라잉,5,A1,2,김정민,남,39,58,5.94,5.64,5.6,44.4,66.7,0.29,2412 3422,6.07,53.3,F0L0,0.27,12,일01-6,27,80.0/5,75.0/4,66.7/6,25.0/4,20.0/5,0.0/3,069,4.86,31.4,47.7,임인섭/26,김응선/642,108,5.71,41.5,
