연도,회차,일차,경주번호,경기종류
2018,18,2,15,온라인
2018,18,2,16,온라인
2018,19,1,1,플라잉
2018,19,1,2,플라잉
2018,19,1,3,플라잉
2018,19,1,4,플라잉
2018,19,1,5,플라잉
2018,19,1,6,플라잉
2018,19,1,7,플라잉
2018,19,1,8,플라잉
2018,19,1,9,플라잉
2018,19,1,10,플라잉
2018,19,1,11,플라잉
2018,19,1,12,플라잉
2018,19,1,13,플라잉
2018,19,1,14,플라잉
2018,19,1,15,플라잉
2018,19,1,16,플라잉
2018,19,2,1,플라잉
2018,19,2,2,플라잉
2018,19,2,3,플라잉
2018,19,2,4,플라잉
2018,19,2,5,플라잉
2018,19,2,6,플라잉
2018,19,2,7,플라잉
2018,19,2,8,플라잉
2018,19,2,9,플라잉
2018,19,2,10,플라잉
2018,19,2,11,플라잉
2018,19,2,12,플라잉
2018,19,2,13,플라잉
2018,19,2,14,플라잉
2018,19,2,15,플라잉
2018,19,2,16,플라잉
2018,20,1,1,온라인
2018,20,1,2,온라인
2018,20,1,3,플라잉
2018,20,1,4,플라잉
2018,20,1,5,플라잉
2018,20,1,6,플라잉
2018,20,1,7,플라잉
2018,20,1,8,플라잉
2018,20,1,9,플라잉
2018,20,1,10,플라잉
2018,20,1,11,플라잉
2018,20,1,12,플라잉
2018,20,1,13,플라잉
2018,20,1,14,플라잉
2018,20,1,15,온라인
2018,20,1,16,온라인
2018,20,2,1,온라인
2018,20,2,2,온라인
2018,20,2,3,플라잉
2018,20,2,4,플라잉
2018,20,2,5,플라잉
2018,20,2,6,플라잉
2018,20,2,7,플라잉
2018,20,2,8,플라잉
2018,20,2,9,플라잉
2018,20,2,10,플라잉
2018,20,2,11,플라잉
2018,20,2,12,플라잉
2018,20,2,13,플라잉
2018,20,2,14,플라잉
2018,20,2,15,온라인
2018,20,2,16,온라인
2018,21,1,1,플라잉
2018,21,1,2,플라잉
2018,21,1,3,플라잉
2018,21,1,4,플라잉
2018,21,1,5,플라잉
2018,21,1,6,플라잉
2018,21,1,7,플라잉
2018,21,1,8,플라잉
2018,21,1,9,플라잉
2018,21,1,10,플라잉
2018,21,1,11,플라잉
2018,21,1,12,플라잉
2018,21,1,13,플라잉
2018,21,1,14,플라잉
2018,21,1,15,플라잉
2018,21,1,16,플라잉
2018,21,2,1,플라잉
2018,21,2,2,플라잉
2018,21,2,3,플라잉
2018,21,2,4,플라잉
2018,21,2,5,플라잉
2018,21,2,6,플라잉
2018,21,2,7,플라잉
2018,21,2,8,플라잉
2018,21,2,9,플라잉
2018,21,2,10,플라잉
2018,21,2,11,플라잉
2018,21,2,12,플라잉
2018,21,2,13,플라잉
2018,21,2,14,플라잉
2018,21,2,15,플라잉
2018,21,2,16,플라잉
